Event,Date,Status,Tickets Sold,Tickets Available
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Aug 23, 2016 7:00 PM",Past,5,95
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Aug 25, 2016 7:00 PM",Past,11,189
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Aug 27, 2016 8:30 AM",Past,0,100
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Aug 27, 2016 3:00 PM",Past,3,97
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Aug 28, 2016 8:30 AM",Past,2,98
STREET RETREAT BK Edition: 11AM Day-Long Retreat with Bhante Suddhāso around NYC,"Aug 28, 2016 11:00 AM",Past,8,192
GREEN-WOOD CEMETERY: Guided Meditation with Bhante Suddhāso,"Aug 28, 2016 7:00 PM",Past,19,81
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Aug 30, 2016 7:00 PM",Past,7,93
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Sep 1, 2016 7:00 PM",Past,5,195
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Sep 3, 2016 8:30 AM",Past,3,97
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Sep 3, 2016 3:00 PM",Past,122,-2
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Sep 4, 2016 8:30 AM",Past,5,95
BUSHWICK: Meditation & Dhamma Talk with Bhante Kondanna,"Sep 6, 2016 7:00 PM",Past,3,97
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Sep 8, 2016 7:00 PM",Past,3,197
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Sep 10, 2016 3:00 PM",Past,9,91
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Sep 11, 2016 8:30 AM",Past,1,99
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Sep 13, 2016 7:00 PM",Past,4,96
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Sep 15, 2016 7:00 PM",Past,1,199
RIIS PARK: 8.30am LAST DAY of Meditation & Yoga by the beach,"Sep 17, 2016 8:30 AM",Past,4,96
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Sep 17, 2016 3:00 PM",Past,4,96
UPSTATE NY: Day-Long Hiking & Meditation Retreat with Bhante Suddhāso,"Sep 18, 2016 11:00 AM",Past,39,162
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Sep 20, 2016 7:00 PM",Past,2,98
RED HOOK: An evening of chocolate and meditation with Bhante Suddhāso,"Sep 21, 2016 7:00 PM",Past,107,143
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Sep 22, 2016 7:00 PM",Past,3,197
WEEKEND RETREAT: Meditation At the Farm,"Sep 23, 2016 7:00 PM",Past,15,76
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Sep 24, 2016 3:00 PM",Past,2,98
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Sep 27, 2016 7:00 PM",Past,14,86
"EAST VILLAGE: Khenmo Drolma, meditation and talk on the Four Immeasurables","Sep 29, 2016 7:00 PM",Past,11,189
BRONX: Day-long Meditation Retreat with Khenmo Drolma,"Oct 1, 2016 1:00 PM",Past,17,183
BUSHWICK: Day-long Meditation Retreat with Khenmo Drolma,"Oct 2, 2016 10:30 AM",Past,32,170
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Oct 4, 2016 7:00 PM",Past,6,94
EAST VILLAGE: Meditation & Dhamma discussion with Bhikkhu Bodhi,"Oct 6, 2016 7:00 PM",Past,16,184
BUSHWICK: Day-Long Retreat with Yuttadhammo Bhikkhu,"Oct 8, 2016 10:30 AM",Past,32,68
FORT TILDEN: Day-Long Retreat with Yuttadhammo Bhikkhu,"Oct 9, 2016 10:00 AM",Past,40,60
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Oct 11, 2016 7:00 PM",Past,5,95
ROCKAWAY: Meditation at the Castle,"Oct 12, 2016 7:00 PM",Past,4,96
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Oct 13, 2016 7:00 PM",Past,1,199
ROCKAWAY: Meditation at the Church,"Oct 14, 2016 7:00 PM",Past,0,100
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Oct 18, 2016 7:00 PM",Past,3,97
ROCKAWAY: Meditation at the Castle,"Oct 19, 2016 7:00 PM",Past,10,90
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Oct 20, 2016 7:00 PM",Past,6,194
ROCKAWAY: Meditation at the Church,"Oct 21, 2016 7:00 PM",Past,0,100
ROCKAWAY: Sunday morning Meditation,"Oct 23, 2016 10:30 AM",Past,4,96
BUSHWICK: Meditation with Konin Melissa Cardenas,"Oct 25, 2016 7:00 PM",Past,2,98
ROCKAWAY: Meditation at the Castle,"Oct 26, 2016 7:00 PM",Past,2,98
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Oct 27, 2016 7:00 PM",Past,4,196
ROCKAWAY: Meditation at the Church,"Oct 28, 2016 7:00 PM",Past,2,98
Walk to Feed the Hungry,"Oct 29, 2016 9:00 AM",Past,0,100
ROCKAWAY: Sunday morning Meditation with Bhante Nanda,"Oct 30, 2016 10:30 AM",Past,1,99
"WILLIAMSBURG, BK: Halloween Contemplation of Death with Bhante Suddhāso","Oct 30, 2016 6:00 PM",Past,37,163
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Nov 1, 2016 7:00 PM",Past,1,99
ROCKAWAY: Meditation at the Castle,"Nov 2, 2016 7:00 PM",Past,0,100
EAST VILLAGE: Meditation & Dhamma discussion with Ven. Chang-Zhai,"Nov 3, 2016 7:00 PM",Past,7,193
ROCKAWAY: Meditation at the Church with Ven. Upasanti,"Nov 4, 2016 7:00 PM",Past,1,99
ROCKAWAY: Day- Long Retreat at the Castle,"Nov 5, 2016 10:00 AM",Past,7,93
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Nov 8, 2016 7:00 PM",Past,1,99
ROCKAWAY: Meditation at the Castle,"Nov 9, 2016 7:00 PM",Past,4,96
EAST VILLAGE: Meditation with Rev. Kaizen Bob Gunn,"Nov 10, 2016 7:00 PM",Past,6,194
ROCKAWAY: Meditation at the Church,"Nov 11, 2016 7:00 PM",Past,0,100
UPSTATE NY: Day-Long Hiking & Meditation Retreat with Bhante Suddhāso,"Nov 12, 2016 11:00 AM",Past,66,144
ROCKAWAY: Sunday morning Meditation with Yingrik Drubpa Rinpoche,"Nov 13, 2016 10:30 AM",Past,1,99
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Nov 15, 2016 7:00 PM",Past,2,98
